"Vote","PID3","georgeWBush","barackObama","johnMcCain","cindyMcCain","michelleObama","joeBiden","sarahPalin","hispanics","christianFundamentalists","catholics","feminists","federalGovernment","jews","liberals","middleClassPeople","laborUnions","poorPeople","theMilitary","bigBusiness","peopleOnWelfare","conservatives","workingClassPeople","environmentalists","theUSSupremeCourt","gayMenAndLesbians","asianAmericans","congress","blacks","southerners","illegalImmigrants","richPeople","whites","israel","muslims","hindus","christians","athiests","hillaryClinton","billClinton","condoleezaRice","rushLimbaugh","republicanParty","democraticParty"
"McCain","Republican",85,65,85,85,70,50,85,70,50,70,70,40,70,50,85,30,85,100,70,70,85,85,85,60,30,70,15,70,85,15,70,100,70,50,50,100,15,60,60,100,85,100,30
"Obama","Democrat",40,75,50,30,70,60,50,50,50,50,60,50,50,60,50,40,50,50,50,50,50,50,85,50,50,50,60,50,50,50,50,50,50,50,50,70,40,50,70,NA,30,50,50
"Other","Republican",50,40,50,50,50,60,60,50,50,50,50,50,50,50,50,50,50,50,40,50,50,50,40,50,50,50,50,50,40,40,40,50,50,50,50,50,50,50,15,60,40,60,40
"Obama","Democrat",0,85,15,50,60,85,40,85,60,60,70,40,70,85,70,70,85,50,15,85,60,85,100,40,15,30,60,85,85,60,60,85,40,40,70,100,0,100,85,30,0,15,60
NA,"Other",0,60,15,50,60,40,NA,85,50,40,50,0,50,50,85,70,70,30,60,30,40,100,70,50,40,60,30,70,40,30,0,40,50,15,40,50,50,50,100,NA,15,50,70
"McCain","Republican",100,15,100,85,50,50,85,85,60,100,50,85,50,15,60,40,85,100,100,40,100,100,50,85,0,50,50,70,50,85,100,85,15,15,15,60,15,85,85,NA,NA,85,50
"Obama","Democrat",0,100,0,0,85,70,0,70,15,85,70,60,85,70,70,70,85,60,60,60,40,70,70,70,70,85,40,85,85,15,85,85,85,70,85,70,70,70,70,30,50,15,70
"McCain","Republican",85,15,100,100,15,15,100,40,70,85,40,50,50,50,100,60,50,100,50,30,50,100,30,60,50,50,40,50,70,0,40,50,50,50,50,100,50,0,40,100,100,85,30
"Obama","Democrat",15,70,40,NA,50,70,40,100,100,100,85,40,85,40,100,30,100,70,40,100,85,100,85,85,50,100,60,100,100,100,100,85,100,100,50,100,100,60,60,40,15,15,60
NA,"Other",30,70,60,40,50,60,50,85,NA,60,40,70,70,50,70,40,60,85,40,70,60,85,60,70,70,60,70,85,85,40,70,70,70,70,50,70,50,60,60,70,50,60,70
"Obama","Democrat",50,100,50,50,85,100,50,60,50,60,50,60,60,50,85,40,85,85,50,40,60,70,50,40,50,60,50,60,60,40,50,60,60,60,60,85,60,60,100,NA,40,0,100
"Obama","Other",60,30,60,50,15,50,70,40,50,50,50,40,50,50,60,40,50,70,60,30,50,70,70,60,50,50,50,50,50,15,40,50,50,50,50,50,50,100,70,50,30,50,50
NA,"Other",60,60,50,50,50,NA,NA,60,60,50,50,70,50,40,60,80,60,100,60,70,60,70,70,70,50,50,50,50,50,30,30,50,60,50,50,60,40,60,40,NA,NA,50,50
"Obama",NA,70,50,50,60,60,85,100,85,50,100,50,50,30,70,50,50,100,85,85,30,85,60,100,0,0,40,70,15,60,50,60,60,15,70,30,70,30,NA,NA,NA,NA,NA,NA
"Obama","Democrat",15,80,15,50,90,60,50,50,50,40,40,60,50,60,50,40,50,80,50,50,50,90,50,70,60,50,50,80,50,0,50,50,40,50,50,50,50,85,70,NA,NA,40,85
NA,"Other",50,60,50,50,60,60,50,100,60,85,40,50,50,60,70,60,50,70,70,60,60,70,70,50,50,60,50,60,60,50,50,60,70,60,NA,60,60,60,60,NA,NA,60,60
NA,"Democrat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,80,10,NA,40,60
"McCain","Republican",30,60,85,60,60,40,60,70,15,60,60,40,85,40,100,70,60,85,15,60,70,100,70,85,70,60,60,70,60,40,40,60,70,70,70,100,15,15,0,70,15,40,60
"Obama","Democrat",15,85,15,30,85,85,0,85,40,85,70,30,85,85,70,70,85,85,60,85,40,85,70,60,85,85,60,85,70,70,60,85,70,70,50,60,70,85,70,30,0,30,85
"Obama","Other",30,100,50,50,85,50,60,70,60,85,15,60,70,70,85,50,70,100,40,60,40,100,70,60,60,70,40,70,70,40,70,70,40,60,60,85,30,100,70,70,70,40,70
"Obama","Democrat",40,100,60,50,100,100,15,100,40,70,50,60,100,100,85,85,85,60,40,70,40,85,70,50,100,100,70,100,85,85,50,100,50,100,100,100,70,70,70,50,50,15,85
"Obama","Democrat",15,100,40,50,85,60,15,50,40,50,70,40,50,85,100,85,50,60,15,79,15,85,85,40,50,50,40,50,50,50,50,50,50,50,50,50,50,40,85,15,40,15,100
"McCain","Democrat",15,50,60,60,50,40,60,100,85,50,70,15,85,70,85,70,70,60,70,50,50,85,40,30,30,70,40,70,100,85,50,70,70,60,70,85,15,60,70,30,NA,40,60
NA,"Democrat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,70,0,NA,50,85
"McCain","Other",60,60,60,50,60,50,60,85,50,50,70,70,85,50,85,50,85,85,70,50,50,85,85,70,85,85,70,85,50,60,85,85,85,85,85,50,50,85,70,70,50,60,60
"Obama","Other",0,70,50,50,70,60,40,60,0,50,40,40,50,50,60,15,60,50,70,30,50,60,60,50,50,70,50,60,60,60,60,60,15,30,60,40,60,40,60,40,40,40,40
"Obama","Democrat",15,85,40,70,70,70,15,70,50,70,85,70,85,85,85,70,70,70,70,60,60,85,85,70,70,70,70,70,70,50,60,70,85,70,70,70,70,70,70,50,50,50,70
NA,NA,50,50,50,50,50,50,60,60,40,60,30,40,50,50,50,50,60,70,50,50,50,70,50,50,50,50,50,50,50,30,40,50,50,50,50,50,50,15,15,70,50,50,50
NA,"Republican",60,70,70,60,70,50,70,70,50,60,60,60,60,50,60,70,70,50,50,60,60,60,70,50,50,50,60,50,60,70,50,60,50,50,40,60,50,85,50,NA,NA,60,70
"Obama","Democrat",50,70,60,60,70,NA,NA,70,NA,85,NA,40,NA,NA,NA,40,NA,NA,30,30,NA,NA,60,NA,NA,40,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,85,40,NA,40,60
NA,"Other",50,60,50,NA,NA,NA,NA,60,NA,60,50,50,NA,60,50,50,60,50,50,50,50,60,50,60,50,50,50,60,50,50,NA,50,NA,NA,NA,NA,NA,50,NA,NA,NA,60,60
"Obama","Democrat",0,100,40,15,85,85,15,85,40,70,70,70,70,60,70,70,100,100,50,70,70,85,70,70,85,40,30,85,40,85,15,85,70,0,50,70,0,90,70,5,NA,20,70
"Obama","Democrat",0,100,30,15,100,85,0,100,0,15,85,50,100,100,10,NA,100,NA,70,100,15,100,100,50,100,70,50,100,60,100,100,100,100,100,100,60,50,60,60,15,15,0,85
"Obama","Other",0,60,50,60,85,60,60,60,50,60,50,50,50,50,60,60,50,60,50,50,60,60,70,50,0,50,50,60,60,0,60,60,50,50,50,60,50,60,85,30,50,50,60
"Obama","Other",50,85,50,NA,85,50,50,50,50,50,50,70,50,50,70,70,50,70,70,70,50,50,70,50,50,50,60,50,85,50,50,50,50,60,50,50,50,70,90,70,NA,70,50
"Obama","Other",50,100,85,60,100,85,60,85,70,100,30,60,85,50,100,60,100,60,15,70,60,100,100,50,0,60,40,70,85,60,15,70,70,70,60,100,60,70,50,70,NA,15,60
NA,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,70,30,0,15,40
"Obama","Other",0,85,30,30,70,NA,40,100,70,40,50,50,50,NA,85,100,60,100,60,50,NA,100,70,50,50,85,70,85,60,15,60,85,85,60,50,70,50,70,30,40,NA,40,85
"Obama","Democrat",30,70,50,30,60,60,50,70,50,50,60,30,70,70,70,70,100,85,60,40,70,100,70,70,0,NA,60,100,NA,70,60,70,85,40,NA,100,0,85,100,60,15,50,70
NA,"Democrat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,0,60,100
NA,"Democrat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,100,NA,NA,NA,NA
"Obama","Democrat",15,100,50,50,85,85,50,100,50,50,85,50,50,85,85,50,70,50,50,70,50,100,70,50,50,50,50,50,50,50,50,50,50,50,50,60,50,85,85,85,NA,30,100
"Obama","Democrat",19,100,50,NA,100,89,30,100,100,100,NA,50,75,100,100,85,100,100,0,NA,0,89,100,85,0,70,50,70,50,60,50,70,70,60,NA,100,NA,100,70,15,50,50,100
"Obama","Democrat",0,100,50,50,100,85,40,70,40,85,70,15,70,85,70,70,70,100,30,70,50,70,85,30,85,70,50,70,NA,60,70,70,60,70,70,85,0,100,100,50,0,0,85
NA,"Democrat",30,90,30,0,80,60,30,80,NA,80,70,70,85,85,90,40,NA,85,60,60,85,100,100,60,90,50,70,95,80,30,80,95,80,80,NA,75,NA,90,95,90,0,60,90
NA,"Democrat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,85,60,15,40,60
"Obama","Other",30,85,60,60,70,60,50,100,50,40,50,50,50,50,70,70,85,85,50,50,50,100,60,50,50,50,50,100,85,50,50,70,50,50,50,85,50,70,60,50,50,50,60
"Obama","Democrat",0,100,0,0,100,85,0,70,NA,70,50,60,70,NA,85,100,70,100,60,50,NA,70,50,70,0,70,60,100,70,50,40,100,50,50,50,100,NA,100,100,40,0,15,100
"Obama","Other",15,85,15,NA,NA,NA,15,70,50,30,85,40,50,50,85,40,50,50,40,40,50,50,40,60,15,50,50,85,85,50,30,70,40,70,50,70,50,85,85,70,NA,70,70
NA,NA,0,85,50,50,85,85,50,10,50,40,70,30,50,60,100,100,100,0,0,50,50,100,70,30,30,85,40,10,100,50,50,60,50,50,50,70,0,85,85,0,50,50,100
NA,"Other",0,100,0,0,85,50,15,85,50,50,50,60,50,50,60,50,100,40,70,70,50,85,70,70,50,50,60,85,50,0,50,50,85,60,50,100,40,30,85,50,NA,70,50
"Obama","Other",0,100,15,15,100,100,15,100,85,85,50,85,85,85,85,85,100,100,85,70,70,100,85,100,100,70,85,100,100,NA,50,85,70,85,70,85,NA,70,100,100,50,85,85
"Obama","Democrat",30,70,50,50,85,60,40,40,85,85,60,0,85,60,85,85,85,70,60,70,60,100,85,30,0,60,40,100,100,30,60,85,85,60,50,100,0,70,70,70,30,0,85
NA,"Democrat",0,85,30,30,85,50,50,100,70,50,100,60,85,50,85,100,50,100,100,60,50,100,100,100,50,100,70,85,85,70,85,85,50,50,50,100,0,70,85,70,50,30,100
"Obama","Democrat",60,85,60,70,70,70,70,60,85,85,60,75,70,70,60,70,60,70,70,60,70,70,70,85,60,70,70,70,70,70,70,70,60,70,60,85,50,70,85,70,60,40,60
NA,"Other",30,100,40,40,100,50,60,85,85,70,70,70,85,85,85,70,30,70,60,40,50,70,50,70,50,60,70,85,70,70,70,85,50,50,50,85,70,85,100,30,NA,NA,NA
NA,"Other",50,70,70,60,60,70,70,40,NA,85,70,70,70,85,60,60,70,85,60,50,40,85,60,50,40,60,70,60,85,40,70,60,70,50,50,70,50,70,80,40,15,40,60
NA,"Democrat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,30,NA,0,100
"Obama","Democrat",0,25,0,0,20,50,0,100,100,100,15,0,100,25,50,100,100,25,0,100,100,100,6,0,15,100,75,100,100,100,0,100,100,100,100,100,6,100,100,15,0,15,100
"Obama","Democrat",30,100,30,0,85,70,0,70,70,100,50,60,50,50,50,70,50,100,60,50,0,60,60,60,50,40,40,85,50,0,50,70,70,70,50,85,50,85,100,70,0,0,100
"Obama","Democrat",70,100,50,50,85,60,60,50,60,85,85,85,70,85,85,85,100,100,70,100,70,85,70,70,85,70,70,100,70,50,70,100,85,85,50,100,40,85,70,NA,NA,50,60
"Obama","Other",50,70,60,40,70,0,30,85,40,60,NA,60,NA,60,70,70,70,70,15,50,50,70,70,30,40,70,40,70,40,85,NA,NA,60,NA,NA,NA,100,50,50,40,0,30,60
NA,"Other",50,100,70,NA,85,NA,NA,85,100,100,50,70,50,100,100,50,100,100,85,85,100,100,50,50,50,100,60,100,50,70,85,85,50,100,50,100,50,100,100,NA,NA,50,50
"Obama","Democrat",0,85,30,70,100,70,15,50,50,50,50,50,50,60,70,70,85,50,50,50,60,100,50,60,50,50,70,70,70,50,50,70,50,70,50,50,50,70,70,50,0,40,70
"Obama","Democrat",85,100,85,85,85,85,85,85,100,100,85,100,85,70,100,85,85,100,85,85,85,100,85,100,85,85,85,100,85,70,85,85,70,85,70,100,70,85,70,85,50,60,85
"Obama","Democrat",0,100,15,50,100,85,50,50,50,70,50,70,50,60,85,85,50,50,30,30,50,85,60,70,85,50,70,85,50,70,40,85,50,50,50,85,50,85,100,70,50,15,85
"Obama","Other",15,85,40,40,100,70,30,70,70,85,85,60,85,70,85,85,85,100,85,70,85,85,100,85,85,85,60,85,100,85,85,85,85,70,50,85,60,60,85,60,NA,50,70
"Other","Democrat",15,100,15,15,100,100,15,90,85,85,NA,85,90,70,95,85,70,85,85,70,NA,85,85,85,15,85,85,85,70,50,60,90,70,85,70,85,NA,85,85,60,60,NA,NA
NA,"Democrat",0,100,60,50,50,85,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,50,50,0,70
NA,"Democrat",85,70,70,NA,70,70,40,70,60,85,60,85,70,60,85,70,85,85,100,85,40,100,85,85,30,70,70,70,30,60,30,70,60,85,40,85,60,100,85,NA,40,70,100
NA,"Other",50,100,70,60,85,90,60,60,60,70,70,80,70,60,70,70,70,85,60,60,60,85,80,80,30,50,60,70,70,70,70,80,70,50,50,70,50,70,60,NA,NA,50,75
NA,NA,0,100,50,NA,100,100,NA,50,NA,75,NA,25,50,50,100,100,100,25,0,75,25,100,NA,25,100,50,25,100,100,50,0,75,25,75,0,100,50,0,0,NA,NA,60,60
NA,"Democrat",0,100,0,60,100,100,50,100,80,90,90,60,90,100,90,80,100,65,89,60,90,100,90,100,100,100,100,100,60,100,89,70,100,85,70,80,80,100,100,NA,50,0,100
NA,"Other",0,100,30,30,80,30,30,30,40,30,40,NA,10,50,50,50,50,NA,50,50,NA,60,NA,50,40,50,40,70,50,30,50,50,30,50,40,100,30,50,70,50,50,50,70
NA,"Democrat",30,100,40,NA,85,85,40,85,NA,50,NA,60,50,70,85,70,70,85,70,70,70,85,85,85,15,70,70,85,70,50,70,70,40,40,NA,70,30,95,95,95,NA,50,100
"Obama","Democrat",30,85,50,50,85,85,50,85,70,85,70,70,70,85,85,85,85,70,70,50,60,85,85,60,60,70,60,85,85,30,60,85,60,85,70,85,70,85,85,85,40,30,70
"Obama","Democrat",15,95,45,50,90,95,25,50,50,50,50,50,50,50,87,75,90,80,15,35,50,85,85,50,50,50,50,50,50,45,25,50,55,50,50,50,50,70,100,30,NA,0,85
"Obama","Democrat",0,100,0,0,100,100,0,70,0,0,90,75,70,70,60,60,100,75,0,0,60,70,80,90,0,100,80,70,60,0,0,100,80,0,55,80,0,80,80,0,0,0,100
NA,"Democrat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,70,70,50,50,100
"Obama","Democrat",15,100,100,85,100,100,70,85,70,100,100,85,100,85,100,70,100,100,70,15,100,100,85,70,85,100,85,100,100,15,100,100,100,70,100,100,30,70,70,30,NA,0,70
NA,"Republican",15,70,45,NA,70,50,50,55,50,50,70,90,5,30,60,85,100,60,85,50,100,100,70,55,100,50,90,100,100,40,100,100,30,50,15,100,0,90,100,NA,65,100,100
"Obama",NA,0,100,50,66,100,85,77,60,70,60,60,70,40,60,70,40,60,100,85,15,60,85,70,77,50,85,30,70,60,15,70,70,40,50,60,70,50,100,100,NA,NA,60,60
"Obama","Democrat",0,100,0,40,85,100,15,60,60,40,60,50,60,30,70,50,100,70,50,70,70,70,40,85,0,60,50,85,40,15,40,70,40,30,NA,85,0,100,100,0,NA,0,100
"Obama","Other",50,50,50,NA,50,60,30,50,50,50,40,70,50,50,50,15,50,70,40,50,50,50,70,50,50,50,50,50,60,50,50,50,50,40,50,50,15,50,70,60,50,50,85
NA,"Democrat",50,100,70,85,70,100,NA,85,85,85,NA,85,85,70,100,60,100,100,60,70,100,85,70,70,85,70,60,100,70,50,70,85,50,60,NA,70,60,60,60,70,NA,40,85
"Obama","Democrat",30,100,50,80,89,85,50,85,75,85,75,50,85,80,100,75,90,89,65,70,60,100,89,80,60,85,75,89,85,60,70,85,75,70,85,100,50,85,85,85,15,70,85
"Obama","Democrat",15,100,15,15,70,70,15,70,60,85,70,40,60,70,100,85,100,70,70,85,70,100,100,60,60,70,60,70,40,70,60,70,50,60,70,85,60,70,85,0,0,0,100
"Obama","Republican",30,100,70,60,70,70,50,60,40,70,60,60,85,60,70,50,60,70,40,50,60,70,70,50,60,70,60,60,70,30,50,70,70,50,50,60,50,85,85,50,0,40,40
"Obama","Democrat",0,100,15,50,100,100,0,85,15,100,85,50,50,50,100,50,50,100,30,30,30,100,100,50,100,100,100,100,40,60,40,85,50,50,50,50,50,100,85,70,NA,15,85
"McCain",NA,70,70,70,60,50,50,70,70,50,70,60,60,70,60,70,60,70,85,50,60,70,70,70,50,70,70,50,70,85,70,70,70,70,60,70,70,50,40,50,60,50,50,50
"McCain","Other",60,15,70,50,50,15,70,100,100,100,100,40,100,15,100,50,100,85,60,100,70,85,100,60,100,100,40,100,100,100,100,100,100,100,100,100,100,15,15,70,60,70,15
"Obama","Other",15,85,30,30,30,70,60,70,40,70,40,50,70,70,70,70,60,85,70,40,70,85,70,60,50,60,60,60,60,40,70,70,70,60,50,70,60,70,70,70,50,50,70
"Obama","Other",60,85,70,85,70,70,70,70,85,85,85,50,70,60,85,50,70,100,60,50,70,85,85,70,85,60,50,85,70,50,50,70,85,50,50,100,50,100,85,85,0,50,60
"Obama","Democrat",15,100,40,30,85,100,50,70,60,30,30,60,70,70,85,50,100,30,15,60,40,100,70,70,40,70,30,70,85,70,85,70,70,40,85,70,30,100,85,40,15,0,100
NA,"Democrat",0,100,60,50,60,60,30,85,60,60,50,15,40,60,60,50,50,100,40,30,50,85,85,50,0,70,50,50,30,0,15,70,70,40,50,60,60,85,100,70,40,15,85
"Obama","Other",60,100,50,60,85,100,40,85,85,60,70,70,85,85,70,60,85,85,70,15,60,70,85,100,50,85,70,100,85,15,60,100,85,30,50,85,30,30,50,100,60,60,85
"Obama","Democrat",85,100,0,15,100,100,15,100,70,85,70,100,85,60,70,85,100,100,100,60,60,85,85,85,0,70,60,100,85,50,15,100,70,70,85,100,0,40,90,100,NA,95,95
"Obama","Other",50,100,50,40,100,85,60,70,50,60,50,50,50,70,50,50,60,85,40,50,50,85,70,60,70,50,50,50,NA,30,50,50,50,50,50,50,85,85,85,30,70,50,60
NA,"Republican",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,60,85,85,70,50
"Obama","Democrat",50,100,60,60,100,95,85,85,85,100,100,85,100,85,100,100,85,100,100,85,70,100,100,85,50,100,85,100,100,85,85,100,100,100,100,100,50,85,100,85,60,15,100
"Obama","Democrat",15,85,15,50,50,50,30,50,30,15,70,60,70,70,85,60,85,85,0,30,60,85,85,70,0,50,60,60,85,15,40,60,30,60,50,70,50,50,85,30,30,40,70
"Obama","Other",15,100,40,85,100,85,60,85,60,85,85,60,70,85,85,60,100,85,15,70,60,85,85,85,70,70,60,85,70,85,60,85,70,85,70,85,70,70,70,70,40,60,70
"McCain","Republican",50,15,100,85,0,30,85,50,60,60,60,40,50,50,50,50,85,100,85,60,50,100,50,NA,0,50,60,0,85,50,NA,70,50,NA,50,60,0,70,60,70,NA,85,60
NA,"Other",0,50,15,50,15,NA,15,50,NA,50,50,40,50,50,60,50,60,50,30,50,50,50,60,40,50,50,50,50,50,30,30,50,50,50,50,50,50,100,100,NA,0,0,85
"McCain","Other",70,40,70,70,40,40,85,60,85,85,40,40,100,60,100,40,85,85,70,70,100,100,60,60,60,70,30,70,100,15,85,100,85,30,60,100,15,60,40,70,60,70,30
"Obama","Other",15,70,60,60,70,70,70,60,60,60,60,60,60,60,60,60,50,70,50,40,60,60,70,60,60,60,60,60,70,15,50,60,60,60,60,60,40,40,30,NA,60,40,60
"Obama","Democrat",15,85,60,50,30,50,70,50,30,50,40,40,40,60,50,60,50,85,50,30,50,70,40,60,50,60,40,40,60,0,40,85,40,15,50,50,60,70,85,60,0,30,70
NA,"Democrat",60,60,40,50,50,50,30,50,70,50,50,60,50,50,100,40,100,100,0,30,50,100,40,50,0,50,60,50,100,40,15,50,40,50,50,100,0,70,60,50,50,60,60
NA,"Other",30,100,30,NA,60,NA,30,40,85,50,30,70,40,30,60,80,85,85,50,NA,50,100,NA,50,50,50,50,100,50,50,60,85,50,30,50,85,30,60,70,50,NA,40,50
"McCain","Republican",40,70,70,60,40,50,85,70,60,70,50,60,60,30,70,50,60,85,60,70,60,85,60,40,15,50,40,60,70,15,50,70,70,40,50,70,50,50,30,70,70,70,60
NA,"Republican",60,40,70,60,50,50,70,100,85,50,50,40,50,50,85,50,50,100,50,85,70,100,85,50,30,85,50,50,70,15,60,85,50,40,50,85,15,15,50,50,50,85,15
"McCain","Republican",85,60,50,50,60,50,85,50,100,50,50,15,50,50,50,50,50,100,50,50,100,50,50,NA,50,50,15,50,100,50,50,50,70,50,50,100,50,50,50,100,70,70,NA
"McCain","Republican",60,40,70,50,50,30,70,70,85,60,60,30,70,0,85,15,60,85,60,50,100,85,60,70,15,70,40,70,60,40,15,85,70,50,50,100,15,0,0,70,70,100,0
NA,"Republican",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,15,50,60,70,40
"McCain","Democrat",60,60,60,70,70,NA,NA,85,NA,60,NA,60,70,15,70,100,60,70,50,70,60,85,60,NA,15,40,NA,60,60,40,NA,100,60,40,50,100,50,60,60,NA,NA,60,NA
NA,"Other",60,40,60,40,60,40,40,40,60,40,40,60,40,60,60,30,50,85,70,30,60,70,40,40,70,60,40,30,60,0,60,60,30,15,15,60,85,60,40,85,30,60,40
"Obama","Other",0,85,15,85,85,85,15,NA,50,NA,70,40,NA,NA,50,70,50,85,50,50,50,100,NA,30,15,NA,40,NA,70,50,50,NA,85,50,50,50,NA,85,70,60,0,NA,50
NA,"Other",50,60,40,40,50,50,40,40,1,50,50,60,40,40,50,50,50,70,50,50,40,50,40,50,50,50,50,50,50,30,50,50,40,30,40,50,NA,50,70,95,0,50,90
"McCain","Republican",85,15,85,85,15,15,85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,85,85,70,60
NA,NA,50,50,50,50,50,NA,50,100,50,100,100,50,100,100,100,50,70,85,50,85,50,100,100,50,100,100,50,100,100,70,50,100,40,50,50,100,15,50,40,NA,50,50,50
NA,"Other",30,0,40,50,50,50,50,40,50,50,50,40,50,50,70,50,60,100,30,40,50,100,60,50,50,50,40,0,100,0,60,100,70,0,0,50,50,60,85,15,NA,30,70
"McCain","Republican",85,40,85,60,50,70,60,40,50,70,15,50,50,70,85,50,85,100,50,85,50,85,50,70,15,50,50,70,85,15,15,85,15,15,15,40,50,50,85,85,60,50,30
"McCain","Other",85,15,70,70,15,NA,70,60,60,85,50,60,85,NA,100,NA,100,70,70,50,85,100,100,60,40,85,40,85,85,15,70,85,100,15,40,100,0,60,60,50,NA,60,40
"McCain","Democrat",70,70,85,70,85,60,85,70,85,85,50,70,70,50,60,60,60,85,40,40,60,100,100,85,50,70,85,85,85,15,50,85,70,50,50,85,50,85,70,85,70,70,85
"Obama","Democrat",60,85,60,60,70,85,30,50,60,85,70,85,85,NA,100,0,100,100,60,50,70,100,50,80,0,NA,100,80,70,0,85,85,70,50,50,60,0,100,50,70,100,40,85
"McCain","Republican",50,30,70,50,15,0,70,15,70,50,15,30,40,30,70,0,70,100,30,50,70,100,70,60,0,30,30,50,100,0,30,50,40,15,15,85,30,0,0,NA,40,60,50
NA,"Republican",85,70,85,60,60,50,60,100,50,100,85,85,100,85,100,0,NA,100,40,50,85,100,100,85,100,100,85,100,NA,0,NA,100,100,0,50,100,0,40,60,85,85,70,50
NA,NA,30,30,50,50,50,50,50,100,85,100,50,85,30,100,100,100,100,100,100,100,60,100,60,100,100,60,85,100,100,50,100,100,40,0,50,100,0,70,70,50,50,50,50
"Obama","Democrat",0,100,0,0,100,100,0,70,70,70,50,40,85,50,70,85,85,85,40,70,60,100,70,50,50,70,40,85,50,40,50,85,50,50,50,100,50,85,85,0,50,50,100
"Obama","Other",50,70,40,40,50,60,60,100,70,50,30,40,50,50,100,60,100,85,60,85,70,85,70,40,100,50,60,50,85,100,15,50,50,50,50,70,50,40,15,NA,50,85,60
"McCain","Republican",60,40,85,60,60,30,70,70,50,85,50,40,85,50,100,60,50,100,40,15,60,100,85,60,85,70,50,70,100,15,50,85,70,30,50,85,0,40,50,85,30,85,50
NA,"Republican",85,15,85,75,15,15,85,50,70,50,50,50,30,30,85,40,85,100,85,40,85,100,40,50,0,40,50,30,100,0,70,60,15,0,0,100,15,0,40,50,70,100,0
"Obama",NA,60,100,50,60,85,85,70,60,70,70,60,70,60,50,60,60,85,70,70,60,60,85,50,70,0,60,70,60,50,60,60,70,60,50,60,85,50,70,100,85,85,85,85
NA,"Other",50,100,50,50,100,70,50,70,70,50,50,100,50,50,100,70,100,85,5,85,50,100,50,100,50,100,60,100,NA,85,100,100,NA,50,NA,100,NA,60,70,50,50,50,50
NA,"Other",30,100,30,40,100,100,60,60,85,70,0,85,50,50,85,85,100,100,40,70,85,100,85,50,0,50,100,100,60,0,50,85,50,0,NA,60,50,100,100,85,15,30,30
"McCain","Republican",70,0,60,85,0,0,85,60,85,50,15,30,85,0,85,0,70,100,70,30,85,85,40,70,30,85,15,40,70,15,70,70,85,0,30,85,30,0,0,100,70,70,0
"McCain","Republican",85,0,70,70,15,0,100,85,85,70,0,70,85,0,100,0,60,100,85,40,100,100,0,70,15,85,70,85,100,0,85,100,85,0,0,85,30,0,0,85,100,70,0
"Obama","Democrat",50,100,50,50,100,100,50,70,50,50,70,70,100,50,100,50,100,100,50,50,50,100,70,70,50,100,70,50,100,100,50,50,100,100,50,100,50,100,100,50,0,40,85
